,Sample ID,d15N,N%(N),C%(N),umols N (N),d15N (C),d13C,N%,C%,C:N (mass),umols N,umols C,_merge
60,WS23-139-10MC-3 22.5-25cm,4.659029210126084,0.10593997987134691,0.7692345430565559,2.7102789140248507,5.099045191489756,-25.901478112202202,0.11310818939893226,0.7465760852637888,6.600548459233284,1.5014082785524223,11.560429190383582,both
61,WS23-139-01MC-3 15-17.5cm,3.866817526498717,0.03210536226636303,0.1803389637979518,0.8097609429294818,4.301995567178851,-25.470658677977514,0.03183606398688275,0.16183765064294167,5.0834691973738595,0.427412225217186,2.534558177304821,both
62,WS23-139-01MC-3 15-17.5cm,3.866817526498717,0.03210536226636303,0.1803389637979518,0.8097609429294818,4.203789161608332,-26.216884984693685,0.03341527778545716,0.1574757024698265,4.7126857206125745,0.9665864008090199,5.3137887745979935,both
63,WS23-139-01MC-3 15-17.5cm,4.294759573160932,0.027948194755999366,0.16351181222817357,1.4729157457596096,4.301995567178851,-25.470658677977514,0.03183606398688275,0.16183765064294167,5.0834691973738595,0.427412225217186,2.534558177304821,both
64,WS23-139-01MC-3 15-17.5cm,4.294759573160932,0.027948194755999366,0.16351181222817357,1.4729157457596096,4.203789161608332,-26.216884984693685,0.03341527778545716,0.1574757024698265,4.7126857206125745,0.9665864008090199,5.3137887745979935,both
65,WS23-139-10MC-3 30-32.5cm,4.776000205921692,0.10770692469734544,0.7803902019271544,2.657078323618596,4.677060911921184,-25.98893428361465,0.11238835686200835,0.7400907559730698,6.585119461100061,1.3910967140214754,10.686023146818489,both
66,WS23-139-16MC-3 15-17.5cm,5.396581489664448,0.09962771219000298,0.8386663039701566,2.538977755911397,5.224218188380318,-23.583268890290597,0.10486574905446203,0.6605480792759603,6.2989878509608,1.309511976950616,9.622222020760137,both
67,WS23-139-11MC-3 30-32.5cm,4.94922522184884,0.11460014095016224,0.8114623544385046,2.9348597124560105,4.976158828958797,-23.74280835379672,0.12304383934945637,0.7441779908964326,6.048071929736321,1.4501783549880256,10.23136301888584,both
68,WS23-139-01MC-3 20-22.5cm,4.621655459737567,0.02672677660655606,0.13872340534245928,0.6832020346970681,3.8766083235141275,-25.116258683503794,0.02663279826383546,0.13333726537713425,5.00650604026811,0.30643876374948437,1.789672537784683,both
69,WS23-139-01MC-3 20-22.5cm,4.220347245725518,0.02645220711558364,0.1356850300209477,1.4115773792828437,3.8766083235141275,-25.116258683503794,0.02663279826383546,0.13333726537713425,5.00650604026811,0.30643876374948437,1.789672537784683,both
